Target Name	101287 2001	101287 2002	101287 2004	101287 2005	101287 2007	101287 2008	101287 2011	101287 2013	101287 2014	10233 4004	10233 4005	10233 4006	10233 4007	10233 4008	10233 4009	10233 4010	10233 4011	10233 4014	10233 4015	10233 4016	10233 4017	10233 4018	10233 4019	10233 4020	107466 2003	107466 2005	107466 2006	107466 2007	107466 2008	107466 2009	107466 2010	107466 2011	107466 2012	107466 2013	107466 2015	107466 2016	107466 2017	107466 2021	98016 2006	98016 2007	98016 2009	98016 2010	98016 2014	98016 2016	98016 2018	98016 2019
DIPK2B	3.684222301	3.736829182	2.098370619	2.587327588	1.581378119	3.863282825	3.693826604	5.328665456	3.188612842	3.80131343	4.495624361	6.046484271	5.393601193	5.901876366	6.094556537	5.885495911	4.129941053	4.967914269	4.986256109	6.360298742	5.474312793	5.512997573	3.546826809	5.269235216	3.571635062	2.278463485	0.5169925	1.581378119	1.381378119	2.421312588	1.833985	1.078463485	1.498370619	1.3509775	2.142849104	0.9169925	1.898370619	1.5509775	2.796741239	6.941223996	3.381378119	5.21391539	4.649056688	3.31467831	2.524227223	3.146433485
PVR	4.317922184	3.824120479	1.904320088	2.098370619	1.5509775	4.068720428	4.290805225	5.380882521	3.450525696	3.925742148	4.369922253	5.933920965	5.234836673	6.016503698	5.885649899	5.659762763	4.064568716	4.833949409	4.688545579	6.463002394	5.457354569	5.366243359	3.823658447	5.059855021	3.516922047	2.841219723	1.3509775	2.098370619	0.833985	2.362756238	1.9509775	1.1169925	1.581378119	1.5169925	2.278463485	2.112448485	2.161470984	2.227141857	2.381378119	6.700362182	3.135543928	5.281979433	4.389755572	2.942849104	1.995455985	2.737650062
ALKBH2	4.414139498	3.855297588	2.441219723	2.590256943	2.045763738	4.311723006	4.379251401	5.507550275	3.496221132	3.870028997	4.252929753	6.020267999	5.183125117	5.994927813	6.082163599	5.867474403	4.210317733	4.942369882	4.627892284	6.437925337	5.377665125	5.530265626	3.765839249	5.357040081	3.89670648	2.762756238	1.078463485	1.781378119	1.2	2.473919469	2.698370619	1.5169925	2.279748738	1.433985	2.784962501	2.1169925	2.554627841	1.528771238	2.813184191	6.986064009	3.077334172	5.243155889	4.542647764	3.272443563	2.712448485	2.633985
SERPING1	5.914341006	5.687026395	5.197893591	4.806653477	3.527811604	6.593836845	6.619454066	7.970331618	5.683713009	7.178098668	8.0271786	8.542150885	8.909577163	8.820208719	8.637397241	8.8300382	7.625483743	7.61073345	8.166721066	8.884639498	9.106683054	7.896146882	7.325627861	8.064810388	6.443684192	6.347496015	5.105521363	5.49694446	5.263282825	6.795184193	6.445847642	5.653041395	5.228438243	5.246123512	5.446591193	6.063128048	6.854681484	6.411424021	5.256012325	8.068996212	5.393061037	7.025612144	5.812669491	4.913999298	5.127668444	4.633150205
CXADR	4.055392989	3.423350014	2.142849104	2.815363119	0.833985	4.182643335	3.823763888	5.149140116	3.24934812	3.979228632	4.557710852	5.827151297	5.145465774	5.887796369	5.765212399	5.852035057	3.775704791	4.77135197	4.676347453	6.374693322	5.364832574	5.324632696	3.4664213	5.080430457	3.23691309	1.581378119	1.233985	1.233985	1.1509775	1.781378119	1.633985	0.9169925	0.7169925	1.278463485	1.433985	1.1509775	2.098370619	0.864385619	2.780022413	6.787598679	3.595455985	5.104367382	4.425786151	3.227141857	2.3509775	2.298370619
CACNA2D3	3.380941035	3.268720428	1.278463485	2.064385619	1.1509775	3.634653444	3.726621751	5.224408874	2.801405453	3.808808371	4.486118687	5.93515927	5.131663558	5.912901887	5.782785996	5.553333602	4.321928095	4.868040803	4.621063035	6.277886442	5.13090789	5.343174724	3.415363119	5.214400737	2.207234723	1.898370619	0.4	0.6	0.6	2.1169925	1.1169925	1.1169925	1.664385619	1.181378119	1.742849104	2.067970001	2.181378119	1.3169925	2.395455985	6.936889706	2.735543928	5.141723474	4.408808371	3.224241943	2.1509775	2.576834104
EOMES	4.150824831	3.776108625	1.728771238	1.833985	0.864385619	4.220575579	4.553498529	5.458105479	2.958212223	4.288627562	5.431721221	6.835973544	6.070806067	6.547142901	6.360240359	6.797142373	4.675204723	5.44468967	5.476623746	6.854338865	6.228816639	6.120396829	4.648323559	5.911158902	3.376834104	3.438319809	1.995455985	2.067970001	1.195455985	3.051713207	2.821312588	2.13235562	2.734750148	1.961470984	2.596741239	2.225856603	2.854642562	2.53235562	3.778546507	7.454325921	4.1494288	5.894090648	5.138395645	3.585851682	3.438458563	3.756271943
PMCH	3.321928095	2.321928095	2	2	1	3.169925001	3.169925001	5.087462841	2.321928095	3.700439718	3.700439718	5.754887502	4.64385619	5.584962501	5.832890014	5.584962501	4.169925001	4.392317423	4.523561956	6.247927513	5.169925001	5.285402219	4.169925001	5.459431619	3.169925001	1.584962501	0	0	0	2	2	0	1	1	1	1.584962501	1.584962501	1	2.321928095	6.672425342	3	4.95419631	4.087462841	3	2.321928095	2.321928095
WNT4	3.424500897	2.899121046	2.015363119	0.8	0.7169925	3.691815871	3.856820225	5.276558245	2.73235562	3.787842377	4.340342514	5.86504037	5.3788931	5.837966228	5.956940387	5.667076326	4.02974	4.842042944	4.467076326	6.443002144	5.329652917	5.235783778	3.351144431	4.97177438	2.942849104	2.090242222	0.5169925	1.233985	0.981378119	1.1169925	1.7509775	1.781378119	1.033985	1.033985	1.698370619	1.181378119	2.342849104	1.829440985	2.678463485	6.713874956	3.83223884	5.162676978	4.291412038	2.581378119	2.427141857	2.498370619
TCL1A	3.608947125	2.890242222	1.678463485	2.568705707	1.867970001	3.776834104	3.67672736	5.199029315	2.90790447	3.872443563	5.852749359	7.2365142	6.33293133	6.286949823	6.455345852	6.65773367	5.08125673	5.278267771	5.047288011	7.39037428	5.871060943	6.194424379	5.190872831	5.930922339	2.893826604	2.64934812	1.064385619	1.6	0.7169925	2.142849104	1.633985	0.833985	1.498370619	1.078463485	2.298370619	1.5509775	2.904320088	0.8	3.691527476	7.154976078	3.239934469	5.366718393	5.316593121	3.008878824	3.082143267	3.495111858
