,logFC,AveExpr,t,P.Value,adj.P.Val,B
IL7R,-0.367072025,5.322466772,-3.136124139,0.00351959,0.047757144,-2.094469491
ISG15,-0.809039775,5.475526824,-3.134669917,0.003533109,0.047757144,-2.097986779
CD3EAP,0.24009055,5.705871644,3.13199935,0.003558065,0.047757144,-2.104443726
HLA-A,-1.076841767,8.677559586,-3.12327851,0.003640732,0.048132135,-2.12550852
TERT,0.189559005,5.348266253,3.115683836,0.003714206,0.048132135,-2.143827298
UBA7,-0.361753033,5.725543203,-3.114601414,0.003724791,0.048132135,-2.146436195
ATG10,0.267109777,5.867017305,3.114263232,0.003728104,0.048132135,-2.147251196
ADA,-0.202185462,5.235661599,-3.112866998,0.003741813,0.048132135,-2.150615534
MSRB2,0.28640706,5.54620426,3.112504322,0.003745381,0.048132135,-2.151489298
CACNA2D4,0.197519882,5.296977863,3.101723562,0.003852948,0.049165781,-2.1774372
COL1A2,-0.902927722,7.178105677,-3.097590912,0.003894953,0.049354232,-2.187370972
JADE1,0.225143775,6.326007317,3.092179866,0.00395061,0.04971184,-2.200366737
TSLP,0.202826926,5.31604874,3.088988217,0.003983791,0.049737235,-2.208026331
CCL5,-0.458968566,5.548519047,-3.085002349,0.0040256,0.049737235,-2.217585881
CD14,-0.498512504,5.28535616,-3.083278185,0.004043814,0.049737235,-2.221718954
GNAQ,0.30334911,5.847416799,3.081166783,0.004066225,0.049737235,-2.226778563
TAPBP,-0.367770996,6.311438097,-3.078950817,0.004089872,0.049737235,-2.232086696
CXCL10,-0.619666482,5.34432357,-3.074041663,0.004142724,0.050044109,-2.243838624
PRKCA,0.334701503,6.293135794,3.059461925,0.00430353,0.051642363,-2.278679761
ASCL1,0.244948723,5.269580877,3.053228195,0.004374073,0.052143551,-2.293548488
BAD,0.365386671,6.226517162,3.048080796,0.004433145,0.05250235,-2.305813389
IL13RA1,-0.36472103,5.132981014,-3.043143585,0.004490515,0.05263748,-2.317566643
RPLP0,0.3928216,5.174122126,3.042039203,0.004503443,0.05263748,-2.320194219
NDUFB1,0.259339681,7.189891508,3.039635496,0.004531704,0.05263748,-2.325911347
CACNA1C,0.251045176,5.542015909,3.033463009,0.004605045,0.05310963,-2.340580802
CD48,-0.250094893,5.563659155,-3.028156811,0.004668988,0.05310963,-2.353178096
FPR3,-0.291906768,5.259760125,-3.023136684,0.004730256,0.05310963,-2.365084835
ESR1,0.265095414,5.343560122,3.022025332,0.004743922,0.05310963,-2.367719239
CD300A,-0.244034231,5.036623225,-3.021877847,0.004745738,0.05310963,-2.368068805
NCR1,-0.172941089,4.934625827,-3.021557568,0.004749685,0.05310963,-2.368827887
KRAS,0.263087608,6.210710432,3.01930565,0.004777522,0.05310963,-2.374163809
CCL4,-0.5776052,5.670671855,-3.013986996,0.004843882,0.05315753,-2.386757462
BMP2,0.221489502,5.41874668,3.010764423,0.004884512,0.05315753,-2.394381857
FGF16,0.24668389,5.303244998,3.009945188,0.004894892,0.05315753,-2.39631938
FCER1G,-0.680224573,5.896969752,-3.009607536,0.004899176,0.05315753,-2.397117854
GNAS,0.272240912,9.932560103,3.004051535,0.004970184,0.05360698,-2.410249296
IRF4,-0.291598474,4.92224578,-3.001255482,0.005006284,0.053676848,-2.416852481
FLNA,-0.446583193,7.355535702,-2.997459622,0.00505569,0.053865412,-2.425811237
CXADR,0.28100302,6.052410408,2.994638688,0.005092705,0.053865412,-2.432464856
CDC20,0.519693849,6.600101201,2.993096175,0.005113052,0.053865412,-2.436101612
GOT1,0.200782817,5.807279234,2.9897121,0.005157962,0.054024432,-2.444076443
PTGDR2,0.205880465,5.097452681,2.98408927,0.005233405,0.054084283,-2.457315695
CCL18,-0.739604329,5.453180013,-2.98307135,0.005247174,0.054084283,-2.459710921
BAIAP3,0.220479612,5.471318737,2.98131286,0.00527104,0.054084283,-2.463847649
GPX4,0.353180541,7.82586252,2.976275417,0.005339976,0.054084283,-2.475690162
TOP2A,0.324628429,7.853134234,2.974302175,0.00536721,0.054084283,-2.480325925
ITGA5,-0.385199913,4.886893922,-2.974002528,0.005371357,0.054084283,-2.481029734
MRM2,0.190798688,6.324366457,2.97391197,0.005372611,0.054084283,-2.481242429
TMEM163,0.284936863,5.33786142,2.969467212,0.005434495,0.054405004,-2.491677304
PRUNE1,0.24242004,5.668763859,2.964428174,0.005505466,0.054812666,-2.503496505
WNT4,0.354712281,5.32953781,2.955341627,0.005635656,0.055802233,-2.524780002
CD1D,0.197575599,5.018316586,2.944398834,0.00579629,0.057069992,-2.550361226
ADGRE5,-0.413496447,5.676167941,-2.93975369,0.005865773,0.057069992,-2.56120364
RPS6KA6,0.247528048,5.727637748,2.939611906,0.005867906,0.057069992,-2.561534426
C6,0.241999884,4.989863549,2.936411112,0.005916256,0.057069992,-2.568999523
MAP3K20,0.334194083,5.708686315,2.936087225,0.005921169,0.057069992,-2.569754648
